Suzuki swift Dlx,"2010 - 87,000 km","JOHAR TOWN, LAHORE","Rs 1,325,000"
Suzuki Swift RX413 DX STD 1328 cc (2011),"2011 - 110,000 km","KORANGI INDUSTRIAL AREA, KARACHI","Rs 1,175,000"
Suzuki Swift Auto,"2015 - 52,000 km","ABUL HASSAN ISPHANI ROAD, KARACHI","Rs 1,785,000"
Swift DLX exchange possible,"2011 - 156,000 km","SAHIWAL, PUNJAB","Rs 1,275,000"
SUZUKI SWIFT 1.3 DLX AUTO 2017,"2017 - 75,000 km","PECHS, KARACHI","Rs 1,895,000"
Suzuki Swift DLX 2016,"2016 - 62,320 km","KARACHI, SINDH","Rs 1,610,000"
"Swift 2019 Maunal Transmission, 100% Orignal, First owner,like new car","2019 - 42,162 km","ANCHOLI, KARACHI","Rs 1,925,000"
SWIFT AUTO 1.3 NAVIGATION,"2018 - 29,000 km","DHA PHASE 2, KARACHI","Rs 1,950,000"
Suzuki Swift (Auto),"2016 - 62,162 km","FEDERAL B AREA, KARACHI","Rs 1,675,000"
Suzuki/swift Dlx 2010,"2010 - 73,000 km","GULSHAN-E-SHAMEEM, KARACHI","Rs 1,135,000"
SWiFT DLX 1.3 Manual,"2012 - 99,000 km","ALI VIEW GARDEN, LAHORE","Rs 1,330,000"
Swift dlx 2010 islb num,2010 - 99 km,"AIRPORT HOUSING SOCIETY, RAWALPINDI","Rs 1,235,000"
Suzuki Swift DLX Automatic 1.3 Navigation,"2011 - 96,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,500,000"
Suzuki Khyber swift,"1989 - 556,968 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 285,000"
Suzuki Swift XG L Package 1.3 2006,"2006 - 123,456 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,430,000"
SUZUKI SWIFT 1.3 DLX,"2015 - 54,000 km","KASHMIR ROAD, KARACHI","Rs 1,510,000"
suzuki swift Dxl 2021,"2021 - 3,200 km","MIRPUR, AZAD KASHMIR","Rs 2,265,000"
Suzuki Swift Dlx Automatic Transmission,"2015 - 55,000 km","DHA PHASE 2, KARACHI","Rs 1,670,000"
Swift dlx automatic,"2015 - 123,456 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,650,000"
Suzuki swift 2016,"2016 - 46,000 km","MALIR, KARACHI","Rs 1,700,000"
SUZUKI SWIFT JAPNESE 2006 UNREGISTERED PEARL WHITE CUSTOM AUCTION,"2006 - 89,000 km","GULSHAN-E-IQBAL BLOCK 4, KARACHI","Rs 1,650,000"
Swift 1.3,"2017 - 60,000 km","BAHRIA TOWN, ISLAMABAD","Rs 1,850,000"
Suzuki Swift DLX Automatic 1.3 original condition,"2013 - 82,000 km","SHADMAN TOWN, KARACHI","Rs 1,500,000"
Suzuki Swift 2017 1.3 DLX Automatic NAV 45000km Brand New Untouched,"2017 - 45,000 km","ASKARI IV, KARACHI","Rs 1,925,000"
Home user suzuki swift Dlx manual for sale,"2012 - 74,000 km","FAISALABAD, PUNJAB","Rs 1,300,000"
Suzuki Swift automatic,"2019 - 95,003 km","GULSHAN-E-SHAMEEM, KARACHI","Rs 2,125,000"
Suzuki swift Automatic,"2012 - 102,000 km","GREEN TOWN, LAHORE","Rs 1,450,000"
Khyber swift,"1989 - 25,802 km","SWABI, KHYBER PAKHTUNKHWA","Rs 160,000"
AUTO SWIFT DLX 1.3,"2014 - 99,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,485,000"
Vvip 2014 suzuki cultus vxri btr alto cuore mehran swift liana city,"2014 - 98,000 km","GULSHAN-E-IQBAL BLOCK 7, KARACHI","Rs 1,095,000"
Suzuki swift dlx,"2012 - 158,693 km","GULBERG 3, LAHORE","Rs 1,260,000"
Swift Japan Assembled 1997,"1997 - 92,000 km","LAYYAH, PUNJAB","Rs 399,000"
Khyber Swift 1997 Japan Assembled,"1997 - 92,000 km","LAYYAH, PUNJAB","Rs 399,000"
Swift 1.3 DLX manual,"2013 - 88,000 km","SCHEME 33, KARACHI","Rs 1,330,000"
Suzuki swift manual,"2018 - 31,000 km","KHAYABAN-E-SIR SYED, RAWALPINDI","Rs 1,825,000"
Szuki Swift,"2018 - 56,000 km","SADIQABAD, RAWALPINDI","Rs 1,890,000"
Suzuki Swift 2012 DXL,"2012 - 75,000 km","SIALKOT, PUNJAB","Rs 1,315,000"
Suzuki swift DLX 2014,"2014 - 103,000 km","RASHID MINHAS ROAD, LAHORE","Rs 1,530,000"
Suzuki swift dlx 1.3 abs break is upforsale mint condition,"2010 - 10,000 km","GUJRANWALA, PUNJAB","Rs 1,175,000"
Swift DLX 2016,2016 - 54 km,"GULSHAN-E-IQBAL BLOCK 1, KARACHI","Rs 1,585,000"
Suzuki Swift 1.3 Dlx Navigation,"2010 - 76,000 km","ABBOTTABAD, KHYBER PAKHTUNKHWA","Rs 1,460,000"
Suzuki swift DLX 1.3 2014,"2014 - 63,000 km","WAPDA TOWN, LAHORE","Rs 1,495,000"
Good car in reasonable price swift dlx model,"2015 - 100,000 km","CHICHAWATNI, PUNJAB","Rs 1,600,000"
Suzuki kyber swift,"1989 - 200,000 km","AHSANABAD, KARACHI","Rs 160,000"
Suzuki khyber swift,"1989 - 75,000 km","CHUNGI AMAR SADHU, LAHORE","Rs 280,000"
suzuki swift khyber 89/90,"1989 - 1,111 km","GULISTAN-E-JAUHAR BLOCK 8, KARACHI","Rs 185,000"
Suzuki Swift 2015 Pearl Red Good Condition,"2015 - 128,000 km","GULZAR-E-HIJRI, KARACHI","Rs 1,420,000"
Suzuki SWIFT 2012 perfect condition,"2012 - 94,000 km","GULISTAN-E-JAUHAR BLOCK 12, KARACHI","Rs 1,295,000"
Suzuki Swift 2019 total original,"2019 - 14,560 km","E-7, ISLAMABAD","Rs 2,140,000"
Suzuki Swift DLX ABS Model 2020 Colour Grey 18000km Spair Wheel Unused,"2020 - 18,000 km","AIRPORT, KARACHI","Rs 2,000,000"
"Swift 2018 Brand New condition, Less driven","2018 - 20,000 km","HYDERABAD, SINDH","Rs 1,785,000"
Suzuki swift dlx neat gari,"2012 - 122,000 km","MIAN CHUNNU, PUNJAB","Rs 1,235,000"
Suzuki swift modified DLx,"2010 - 150,000 km","ADIALA ROAD, RAWALPINDI","Rs 1,300,000"
Swift Automatic for sale,"2019 - 18,000 km","LAKE CITY, LAHORE","Rs 2,160,000"
Suzuki swift DX,"2015 - 173,000 km","HIGHCOURT SOCIETY, LAHORE","Rs 1,475,000"
Swift Automatic 2013 low mileage,"2013 - 62,500 km","GULSHAN-E-RAVI, LAHORE","Rs 1,520,000"
Suzuk swift dlx automatic,"2016 - 69,693 km","GARDEN EAST, KARACHI","Rs 1,825,000"
Suzuki Swift DLX 2014 Model,"2014 - 81,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,460,000"
Swift 2010,"2010 - 140,000 km","PEOPLE COLONY, RAWALPINDI","Rs 1,325,000"
Khyber swift 1992 new good condition,"1992 - 100,000 km","GHOTKI, SINDH","Rs 270,000"
suzuki swift,"1989 - 100,000 km","9TH AVENUE, ISLAMABAD","Rs 365,000"
Suzuki swift 2014,"2014 - 175,000 km","G-9, ISLAMABAD","Rs 1,450,000"
Suzuki Swift DLX,"2018 - 39,520 km","FAISALABAD, PUNJAB","Rs 1,795,000"
"Suzuki Swift(Khyabar) , modified. Family used car","1991 - 41,235 km","DHA 11 RAHBAR, LAHORE","Rs 435,000"
Suzuki swift 2013,"2013 - 78,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,320,000"
Swift DLX 2016 excellent condition for sale,"2016 - 74,000 km","RIFLE RANGE ROAD, LAHORE","Rs 1,590,000"
Suzuki swift 2017 DLX Navigation,"2017 - 50,000 km","GULSHAN-E-IQBAL BLOCK 3, KARACHI","Rs 1,715,000"
Vip condition suzuki swift,"2017 - 12,345 km","SADIQABAD, PUNJAB","Rs 1,655,000"
Suzuki swift lush condition 2015 model,"2015 - 83,000 km","NISHTAR COLONY, LAHORE","Rs 1,700,000"
SUZUKI SWIFT DX 2013 FOR SALE 9/10 CONDITION,"2013 - 95,000 km","DHA PHASE 1, LAHORE","Rs 1,375,000"
Suzuki Swift Automatic Nevigation,"2019 - 48,000 km","MOINABAD, KARACHI","Rs 2,080,000"
Suzuki swift khyber Read add carefully,"1986 - 50,000 km","RANCHORE LINE BAZAR, KARACHI","Rs 160,000"
Suzuki swift automatic 1590000,"2014 - 70,000 km","NAVAL HOUSING SCHEME, KARACHI","Rs 1,590,000"
Suzuki swift,"2016 - 111,111 km","CHAUBURJI PARK, LAHORE","Rs 1,455,000"
Suzuki Swift,"2012 - 130,000 km","MULTAN, PUNJAB","Rs 1,350,000"
Suzuki Swift 2016 DLX,"2016 - 44,600 km","NORTH NAZIMABAD, KARACHI","Rs 1,595,000"
Swift 2016 brand new condition,"2016 - 47,000 km","CANTT, LAHORE","Rs 1,725,000"
Swift automatic Total genuine,"2014 - 70,000 km","FAISALABAD, PUNJAB","Rs 1,700,000"
Swift 1.3 DLX Automatic,"2014 - 56,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,585,000"
Suzuki Swift DlX 2020 manual,"2020 - 22,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 2,150,000"
Suzuki swift dlx 2015,"2015 - 57,000 km","STEEL TOWN, KARACHI","Rs 1,390,000"
swift 2013,"2013 - 60,000 km","ASKARI V, KARACHI","Rs 1,600,000"
Suzuki Swift 1.3 Dlx Automatic,"2019 - 17,000 km","REVENUE SOCIETY, LAHORE","Rs 2,200,000"
Swift 2012 neat and clean no work reqired,"2012 - 120,000 km","SHEIKHÜPURA, PUNJAB","Rs 1,260,000"
Suzuki Swift Auto Navg 2015,"2015 - 82,000 km","GULBERG TOWN, KARACHI","Rs 1,665,000"
Suzuki Swift DLX 1.3 Automatic (Navigation),"2018 - 22,400 km","NORTH NAZIMABAD, KARACHI","Rs 1,970,000"
SWIFT DLX 2017 Genuine,"2017 - 80,396 km","JOHAR TOWN, LAHORE","Rs 1,750,000"
Suzuki swift dlx model 2014,"2014 - 167,000 km","GUJRANWALA, PUNJAB","Rs 1,475,000"
Suzuki Swift DLX Abs,"2016 - 20,000 km","ICHHRA, LAHORE","Rs 1,485,000"
Swift 2018 full genin,"2018 - 45,000 km","KALA BOARD, KARACHI","Rs 1,750,000"
Suzuki Swift DLX,"2012 - 100,000 km","CHINIOT, PUNJAB","Rs 1,295,000"
Suzuki Swift Family Car Urjent Sale,"2015 - 60,000 km","SUKKUR, SINDH","Rs 1,600,000"
Suzuki swift 2010.,"2010 - 150,000 km","G-11, ISLAMABAD","Rs 1,280,000"
SUZUKI Khyber swift 1990,"1990 - 10,000 km","FAISALABAD, PUNJAB","Rs 250,000"
"My suzuki swift DXL,","2013 - 94,251 km","BHUTTO NAGAR, KARACHI","Rs 1,425,000"
Suzuki swift DLX 1. 3 2014 AUTO,"2014 - 75,891 km","PARAGON CITY, LAHORE","Rs 1,625,000"
Mint Condition Suzuki Swift 1988 registered 1992,1992 - 1 km,"GULSHAN-E-IQBAL BLOCK 6, KARACHI","Rs 340,000"
Suzuki Swift 2013 Full Options Immaculate Condition,"2013 - 85,660 km","ABUL HASSAN ISPHANI ROAD, KARACHI","Rs 1,290,000"
Suzuki swift DLX,"2010 - 90,000 km","UNIVERSITY ROAD, KARACHI","Rs 1,125,000"
Suzuki Khyber swift GA Red 91 excellent condition family use,"1991 - 16,000 km","NORTH NAZIMABAD, KARACHI","Rs 260,000"
Suzuki swift for sale,"2015 - 81,000 km","MULTAN, PUNJAB","Rs 1,325,000"
Suzuki swift Dx 2011 good condition.,"2011 - 125,000 km","TOBA TEK SINGH, PUNJAB","Rs 1,160,000"
Suzuki Swift DLX Automatic 1.3 Navigation 2018,"2018 - 34,000 km","DHA PHASE 6, KARACHI","Rs 1,995,000"
Suzuki Swift DLX 1.3 2013,"2013 - 115,522 km","ALLAMA IQBAL TOWN, LAHORE","Rs 1,470,000"
First Owner Swift I am the First Owner since 1989,"1989 - 123,456 km","F-11, ISLAMABAD","Rs 325,000"
Suzuki swift almost original colour,"2015 - 97,000 km","GULSHAN-E-IQBAL BLOCK 2, KARACHI","Rs 1,480,000"
Suzuki Swift Dlx 2018 Model,"2018 - 85,000 km","HYDERABAD, SINDH","Rs 1,825,000"
Suzuki Swift DLX 1.3 modle 2014 for sale,"2014 - 101,492 km","ADIALA ROAD, RAWALPINDI","Rs 1,480,000"
Swift ABS,"2017 - 71,000 km","HYDERABAD, SINDH","Rs 1,700,000"
Suzuki Swift DLX 1.3,"2010 - 110,000 km","MODEL TOWN, LAHORE","Rs 1,295,000"
Suzuki Swift DLX 2016,"2016 - 77,000 km","SARGODHA, PUNJAB","Rs 1,645,000"
Suzuki Swift 1.3 automatic,"2017 - 43,000 km","ABUL HASSAN ISPHANI ROAD, KARACHI","Rs 1,910,000"
Suzuki Swift 2017 Silver 16Lac,"2017 - 47,000 km","GULSHAN-E-IQBAL BLOCK 3, KARACHI","Rs 1,600,000"
Suzuki swift DLX 2010,"2010 - 112,000 km","SARGODHA, PUNJAB","Rs 1,200,000"
Suzuki swift for sale,"2010 - 91,000 km","BAHAWALPUR, PUNJAB","Rs 1,175,000"
Suzuki Swift Bumper to bumper genuine,"2014 - 65,000 km","MULTAN, PUNJAB","Rs 1,560,000"
Suzuki Swift DLX,"2013 - 75,000 km","LALUKHET, KARACHI","Rs 1,295,000"
Suzuki swift dlx model 2016,"2016 - 77,000 km","CAPITAL ENCLAVE, ISLAMABAD","Rs 1,550,000"
Suzuki swift DLX 2010,"2010 - 87,000 km","GULSHAN-E-RAVI, LAHORE","Rs 1,265,000"
Suzuki Swift DLX Automatic 1.3 original condition,"2013 - 82,000 km","SHADMAN TOWN, KARACHI","Rs 1,500,000"
SUZUKI SWIFT KHYBER JAPAN 1996 MINT CONDITION IN REASONABLE PRICE,"1996 - 14,900 km","ORANGI TOWN, KARACHI","Rs 285,000"
Suzuki swift DLX,"2014 - 85,000 km","JOHAR TOWN, LAHORE","Rs 1,450,000"
Suzuki swift,"2012 - 123,000 km","SIALKOT, PUNJAB","Rs 1,235,000"
Suzuki swift for sale excelent condition,"2011 - 56,000 km","G-11, ISLAMABAD","Rs 1,300,000"
Suzki swift,"1989 - 100,000 km","FEDERAL B AREA, KARACHI","Rs 230,000"
SUZUKI SWIFT 1.3 DLX AUTO 2017,"2017 - 75,000 km","PECHS, KARACHI","Rs 1,895,000"
Suzuki swift 2019 DLX model lhr registered,"2019 - 42,000 km","BUREWALA, PUNJAB","Rs 1,900,000"
Swift Khyber Car for sale in perfect condition,"1990 - 1,000 km","KALYAMABAD, RAWALPINDI","Rs 395,000"
Suzuki Swift / Khyber 2 Door Japanese,"1988 - 123,456 km","IEP ENGINEERS TOWN, LAHORE","Rs 450,000"
Suzuki/swift DLX,"2016 - 94,000 km","BAHRIA TOWN, LAHORE","Rs 1,585,000"
Suzuki Swift Automatic Beast,"2017 - 54,840 km","DHA PHASE 5, KARACHI","Rs 1,950,000"
Suzuki swift in excellent condition,"2015 - 34,500 km","DHA PHASE 5, KARACHI","Rs 1,650,000"
suzuki swift 2013 dlx abs break fogg lights,"2013 - 136,000 km","KHANEWAL, PUNJAB","Rs 1,370,000"
Suzuki Swift DLX 1.3 Auto transmission,"2013 - 78,000 km","FEDERAL B AREA, KARACHI","Rs 1,525,000"
Suzuki swift 2012,"2011 - 74,000 km","KALA BOARD, KARACHI","Rs 1,250,000"
Urgent sale Swift manual 2019 1st owner 100%original outer inner,"2019 - 17,000 km","GULISTAN-E-JAUHAR BLOCK 19, KARACHI","Rs 1,850,000"
suzuki swift DLx 1.3,"2013 - 120,000 km","MUSLIM TOWN, ISLAMABAD","Rs 1,450,000"
suzuki swift 2011 islamabad registered,"2011 - 125,000 km","ASKARI 11, RAWALPINDI","Rs 1,300,000"
SUZUKI SWIFT / DX /2012,"2012 - 110,000 km","JHELUM, PUNJAB","Rs 1,295,000"
Suzuki swift 2011 1st owner 2 Peac touch up.,"2011 - 88,000 km","BAHRIA TOWN KARACHI, KARACHI","Rs 1,350,000"
Suzuki swift driven in islamabad only,"2013 - 88,000 km","E-11, ISLAMABAD","Rs 1,470,000"
Swift 1.3 DLX 2013 genuine,"2013 - 120,000 km","SUKKUR, SINDH","Rs 1,460,000"
Suzuki swift 1990 (khyber) 2010 Registered,"1990 - 100,000 km","GULSHAN-E-MAYMAR, KARACHI","Rs 260,000"
Civic 2014 tribon triborn better vitz swift mira passo corolla,"2014 - 60,000 km","UNIVERSITY ROAD, KARACHI","Rs 1,965,000"
Suzuki swift,"2012 - 200,000 km","CHICHAWATNI, PUNJAB","Rs 1,250,000"
Suzuki swift in excellent condition,"2011 - 95,000 km","MULTAN, PUNJAB","Rs 1,220,000"
Suzuki Swift 2017 model for Sale in lahore,"2017 - 51,000 km","PAF FALCON COMPLEX, LAHORE","Rs 1,775,000"
Swift DLX Manual 2013,"2013 - 71,500 km","BAGHBANPURA, LAHORE","Rs 1,499,999"
Suzuki Swift DLX 1.3 Navigation,"2016 - 65,000 km","GULISTAN-E-JAUHAR BLOCK 16, KARACHI","Rs 1,620,000"
Suzuki swift 1986,"1986 - 850,000 km","GUJRANWALA, PUNJAB","Rs 290,000"
Suzuki Swift 1.3 DLX Navigation 2017,"2017 - 90,000 km","JOHAR TOWN, LAHORE","Rs 1,755,000"
Suzuki swift 2016,"2016 - 35,500 km","COMMITTEE CHOWK, RAWALPINDI","Rs 1,795,000"
Suzuki Swift DLX 2011,"2011 - 95,000 km","JOHAR TOWN, LAHORE","Rs 1,285,000"
Suzuki swift dlx navigation hi,"2015 - 74,300 km","GULZAR-E-HIJRI, KARACHI","Rs 1,410,000"
Suzuki swift janpne,"1987 - 53,007 km","ABBOTTABAD, KHYBER PAKHTUNKHWA","Rs 460,000"
Suzuki Swift DLX 1.3 Genuine body.,"2014 - 59,500 km","ANDA MOR ROAD, KARACHI","Rs 1,485,000"
Suzuki Swift DLX 1.3 original (first owner),"2016 - 45,000 km","GULBAI, KARACHI","Rs 1,530,000"
Suzuki swift model 2018 B2B genuine urgent sale need cash,"2018 - 16,000 km","KARIMABAD, KARACHI","Rs 1,880,000"
Swift suzuki,"2012 - 76,000 km","KOT KHAWAJA SAEED, LAHORE","Rs 1,285,000"
Suzuki Swift Khyber is up for sale.. 1985 mod. Genuine Condition .,"1985 - 80,800 km","G-10, ISLAMABAD","Rs 450,000"
Swift 1.3,"2014 - 70,000 km","BMCHS, KARACHI","Rs 1,550,000"
SUZUKI SWIFT DLX 1.3,"2019 - 40,258 km","G-8, ISLAMABAD","Rs 2,020,000"
Suzuki swift automatic 2014,"2014 - 60,000 km","NORTH NAZIMABAD, KARACHI","Rs 1,610,000"
