Suzuki swift Dlx,"2010 - 87,000 km","JOHAR TOWN, LAHORE","Rs 1,325,000"
Swift Dlx 1.3,"2018 - 58,000 km","MALIR, KARACHI","Rs 1,725,000"
Suzuki Swift DLX 1.3 Manual,"2015 - 85,000 km","DHA PHASE 2, KARACHI","Rs 1,490,000"
Family used car Swift,"2011 - 80,000 km","RAHIMYAR KHAN, PUNJAB","Rs 1,270,000"
swift auto,"2015 - 65,000 km","JAMSHED ROAD, KARACHI","Rs 1,725,000"
Suzuki swift khyber japness for sell and xchange,"1989 - 100,000 km","HYDERABAD, SINDH","Rs 240,000"
Suzuki khyber/swift 1989 for Sale,"1989 - 72,500 km","BAHRIA TOWN, ISLAMABAD","Rs 399,000"
Almost Brand new Suzuki Swift Automatic with Navigation 1.3 Dlx,"2020 - 6,300 km","G-11, ISLAMABAD","Rs 2,225,000"
Swift for sale,"2010 - 75,000 km","BEGAMPURA, LAHORE","Rs 1,240,000"
Suzuki Khyber swift 92 model urgent for sale vehicle,1992 - 123 km,"HARIPUR, KHYBER PAKHTUNKHWA","Rs 260,000"
Suzuki Swift DLX 1.3 Navigation (Model 2017) Bumper To Bumper Genuine,"2017 - 52,000 km","WAFAQI COLONY, LAHORE","Rs 1,730,000"
Swift 2011 good condition low mileage home used car,"2011 - 56,000 km","AIRPORT, KARACHI","Rs 1,300,000"
suzuki swift automatic full original,"2014 - 57,000 km","BIN QASIM TOWN, KARACHI","Rs 1,550,000"
SUZUKI SWIFT AUTOMATIC FULL ORIGINAL,"2014 - 58,000 km","GULSHAN-E-HADEED, KARACHI","Rs 1,550,000"
suzuki swift DLX manual,"2013 - 80,000 km","HILL PARK, KARACHI","Rs 1,450,000"
Suzuki Swift DLX,"2015 - 80,000 km","KHANEWAL, PUNJAB","Rs 1,550,000"
Suzuki Swift DLX Auto,"2015 - 88,000 km","BUFFER ZONE 1, KARACHI","Rs 1,700,000"
SUZUKI SWIFT 1.3 DLX TOTAL GENUINE,"2013 - 150,000 km","JOHAR TOWN, LAHORE","Rs 1,425,000"
14 lac for one car/Suzuki 2012 swift DLX /alto 660 2019 Both manual,"2012 - 90,818 km","MEDIA TOWN, RAWALPINDI","Rs 1,400,000"
Suzuki Swift Model 2011 original conditions,"2011 - 113,000 km","SAHARANPUR COOPERATIVE HOUSING SOCIETY, KARACHI","Rs 1,190,000"
Suzuki Swift,"2014 - 66,500 km","BUFFER ZONE 2, KARACHI","Rs 1,545,000"
Suzuki Swift,"2011 - 135,000 km","NAZIMABAD, KARACHI","Rs 1,300,000"
Suzuki swift dlx 2011,"2011 - 78,000 km","MULTAN, PUNJAB","Rs 1,325,000"
"Suzuki Swift DLX, Mint Condition","2017 - 66,000 km","KHAYABAN-E-ITTEHAD ROAD, KARACHI","Rs 1,635,000"
"Swift dlx , total Genioun","2010 - 150,000 km","KHANEWAL, PUNJAB","Rs 1,250,000"
Suzuki Swift,"2014 - 95,000 km","FAISALABAD, PUNJAB","Rs 1,450,000"
Suzuki Swift 1.3 Manual 2012,"2012 - 150,000 km","FAISAL TOWN, LAHORE","Rs 1,375,000"
Suzuki swift dlx navigation,"2017 - 41,000 km","NORTH NAZIMABAD, KARACHI","Rs 1,750,000"
Suzuki Swift 1.3 DX Manual 2011,"2011 - 130,000 km","FAISAL TOWN, LAHORE","Rs 1,275,000"
• Suzuki /Swift /Saloon/July - 1995/White/As is where is basis,1995 - 1 km,"MALIR, KARACHI","Rs 199,000"
Suzuki Swift,"2018 - 33,000 km","MUZAFFARABAD, AZAD KASHMIR","Rs 1,800,000"
Suzuki swift,"2012 - 150,000 km","JHELUM, PUNJAB","Rs 1,330,000"
Suzuki swift up for sale,"2016 - 60,000 km","EASTRIDGE HOUSING SCHEME, RAWALPINDI","Rs 1,795,000"
SUZUKI SWIFT IN VERY GOOD CONDITION,"2013 - 95,000 km","VALENCIA TOWN, LAHORE","Rs 1,415,000"
Swift 2011 2012. 1 2 pease toucehp,"2011 - 80,000 km","AZAM BASTI, KARACHI","Rs 1,265,000"
Swift 2013 reg,"2012 - 107,000 km","MUSLIM TOWN, RAWALPINDI","Rs 1,370,000"
Suzuki swift 2017 model white colour totally genuine,"2017 - 60,000 km","FAISALABAD, PUNJAB","Rs 1,775,000"
Suzuki swift Dlx,"2010 - 87,000 km","JOHAR TOWN, LAHORE","Rs 1,325,000"
Suzuki Swift DXL 1.3,"2013 - 168,000 km","GUJRANWALA, PUNJAB","Rs 1,435,000"
Suzuki swift dlx 2015,"2015 - 100,000 km","FAISALABAD, PUNJAB","Rs 1,550,000"
Suzuki swift,"2006 - 125,000 km","DAROGHEWALA, LAHORE","Rs 825,000"
Suzuki swift japanese,"2007 - 95,000 km","FEDERAL B AREA, KARACHI","Rs 1,425,000"
Khyber swift,"1989 - 16,000 km","TAXILA, PUNJAB","Rs 340,000"
Suzuki Swift Automatic 1.3,"2017 - 69,123 km","NORTH NAZIMABAD, KARACHI","Rs 1,650,000"
Swift 1300cc DLX,"2012 - 150,000 km","WAH, PUNJAB","Rs 1,400,000"
suzuki swift japani 2006 12,"2006 - 123,453 km","BUFFER ZONE 2, KARACHI","Rs 1,150,000"
Swift 1.3 DLX,"2010 - 100,000 km","AIRPORT HOUSING SOCIETY, RAWALPINDI","Rs 1,120,000"
suzuki swift urgent sale need money,2012 - 107 km,"GULISTAN-E-JAUHAR BLOCK 17, KARACHI","Rs 1,160,000"
Suzuki Swift 2019 Full Option,"2019 - 42,700 km","KOT LAKHPAT, LAHORE","Rs 1,950,000"
Japanese Suzuki Swift 1993 import,"1993 - 85,000 km","SHAHRA-E-FAISAL, KARACHI","Rs 315,000"
Swift DLX New Condition,"2015 - 90,000 km","RAHIMYAR KHAN, PUNJAB","Rs 1,490,000"
Swift 1.3,"2017 - 60,000 km","BAHRIA TOWN, ISLAMABAD","Rs 1,850,000"
Aoa Japani Suzuki Swift For Sale,2009 - 123 km,"RAWALPINDI, PUNJAB","Rs 1,200,000"
Suzuki Khyber swift,"1996 - 50,000 km","ANCHOLI, KARACHI","Rs 265,000"
Suzuki Swift 2013,"2013 - 60,000 km","GARDEN WEST, KARACHI","Rs 1,530,000"
Swift 2011 dx,"2011 - 160,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,300,000"
SUZUKI KHYBER/SWIFT,"1989 - 1,205 km","GULISTAN-E-JAUHAR BLOCK 13, KARACHI","Rs 175,000"
Suzuki swift DLX 75%genuine,"2012 - 50,000 km","SHEIKHÜPURA, PUNJAB","Rs 1,395,000"
Suzuki swift DLX 2010- exchange possible,"2010 - 95,000 km","COMMERCIAL MARKET, RAWALPINDI","Rs 1,330,000"
Care for sale Suzuki swift DLX 1.3,"2012 - 88,000 km","MIAN AMIRUDDIN PARK, LAHORE","Rs 1,400,000"
Suzuki swift khyber,"1989 - 100,000 km","GULSHAN-E-MAYMAR, KARACHI","Rs 185,000"
Suzuki swift all genuine good condition,"2015 - 90,000 km","BAGHBANPURA, LAHORE","Rs 1,525,000"
Suzuki Swift Dlx 1.3 2016,"2016 - 108,000 km","JODHPUR SOCIETY, KARACHI","Rs 1,625,000"
Suzuki khyber swift,"1988 - 100,000 km","ORANGI TOWN, KARACHI","Rs 155,000"
Suzuki Swift For Sale,"2011 - 107,000 km","DHA PHASE 4, LAHORE","Rs 1,300,000"
Suzuki swift,"1996 - 1,000 km","ORANGI TOWN, KARACHI","Rs 240,000"
Suzuki swift dlx total geniune,"2016 - 60,000 km","FAISALABAD, PUNJAB","Rs 1,580,000"
Suzuki swift 2012 DLX,"2012 - 890,000 km","FAISALABAD, PUNJAB","Rs 1,290,000"
Suzuki swift dlx total geniune,"2016 - 60,000 km","FAISALABAD, PUNJAB","Rs 1,585,000"
Swift 2020 punjab number registered,"2020 - 7,500 km","CHICHAWATNI, PUNJAB","Rs 2,150,000"
Suzuki Swift automatic navigation Original,"2015 - 78,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,747,000"
Swift 2017,"2017 - 54,000 km","GULSHAN-E-RAVI, LAHORE","Rs 1,725,000"
Khyber swift Japanese,"1987 - 50,000 km","MOTORWAY CHOWK, ISLAMABAD","Rs 380,000"
Suzuki swift Full automatic,2014 - 1 km,"SIALKOT, PUNJAB","Rs 1,500,000"
Swift DLX navigation up for sale,"2010 - 122,000 km","HARIPUR, KHYBER PAKHTUNKHWA","Rs 1,280,000"
Suzuki swift 2015 DLX,"2015 - 40,000 km","GULZAR-E-HIJRI, KARACHI","Rs 1,530,000"
Suzuki swift khyber,"1988 - 150,000 km","GHAURI TOWN, ISLAMABAD","Rs 450,000"
I want to sale my suzuki swift khyber,"1992 - 150,000 km","PCSIR STAFF COLONY, LAHORE","Rs 350,000"
Suzuki swift 2018,"2018 - 35,500 km","WAPDA TOWN, LAHORE","Rs 1,800,000"
"Suzuki Swift DX 2012 total genuine 1,280,000",2012 - 160 km,"ALLAMA IQBAL TOWN, LAHORE","Rs 1,280,000"
Suzuki Swift 1991,"1991 - 89,000 km","PAF RESIDENTIAL AREA, RAWALPINDI","Rs 450,000"
Swift abs,"2010 - 81,000 km","MAULANA SHAUKAT ALI ROAD, LAHORE","Rs 1,270,000"
Suzuki swift Khyber good condition 1991,"1991 - 2,000 km","TALI MORI, RAWALPINDI","Rs 300,000"
Suzuki Khyber swift modal 1987,"1987 - 100,000 km","AZIZABAD, KARACHI","Rs 179,000"
Suzuki Khyber swift good condition,"1992 - 10,852 km","QUETTA, BALOCHISTAN","Rs 360,000"
Suzuki Swift DX 2011 Model,"2011 - 152,000 km","OKARA, PUNJAB","Rs 1,250,000"
Suzuki swift,1989 - 1 km,"SANGHAR, SINDH","Rs 600,000"
LUXURY DRIVE/ NAVIGATION MODEL 2015 SWIFT DLX,"2015 - 142,000 km","VALENCIA TOWN, LAHORE","Rs 1,535,000"
Swift,"2012 - 101,700 km","METROVILLE, KARACHI","Rs 1,195,000"
Suzuki Swift 2015,"2015 - 73,000 km","COMISSIONER COOP HOUSING SOCIETY, KARACHI","Rs 1,480,000"
Suzuki swift,"2011 - 125,000 km","ANDA MOR ROAD, KARACHI","Rs 1,350,000"
Suzuki swift,2021 - 900 km,"GHAURI TOWN, ISLAMABAD","Rs 2,360,000"
Swift DLX ABS 2017 Mint Condition,"2017 - 68,000 km","SIALKOT, PUNJAB","Rs 1,680,000"
Khyber Swift,"1989 - 95,902 km","HYDERABAD, SINDH","Rs 220,000"
Khyber swift 1994 karachi,"1994 - 3,160 km","MARDAN, KHYBER PAKHTUNKHWA","Rs 290,000"
Suzuki swift DX for sale,"2011 - 126,000 km","MODEL TOWN, LAHORE","Rs 1,300,000"
swift,"2018 - 12,345 km","BAHRIA TOWN, ISLAMABAD","Rs 2,050,000"
Suzuki khyber (swift),"1989 - 12,345 km","GULBERG TOWN, KARACHI","Rs 280,000"
Suzuki Swift 1.3 DLX Manual,"2013 - 130,000 km","MODEL TOWN, LAHORE","Rs 1,380,000"
Suzuki Swift DLX Auto,"2017 - 90,000 km","MULTAN, PUNJAB","Rs 1,750,000"
Swift 2013 (Almost Genuine Condition) Army officer used,"2013 - 98,000 km","SUKKUR, SINDH","Rs 1,350,000"
Suzuki khyber swift 1996,"1996 - 10,000 km","LANDHI 2, KARACHI","Rs 250,000"
Suzuki swift 1.3 dlx white color,"2014 - 100,000 km","KHANPUR, PUNJAB","Rs 1,420,000"
Suzuki swift Japan 2005 unregistered,"2005 - 130,000 km","MINGAORA, KHYBER PAKHTUNKHWA","Rs 650,000"
Suzuki Swift DLX Automatic 1.3 Navigation PKR 23.50 lacs,"2020 - 9,000 km","DHA PHASE 7, LAHORE","Rs 2,350,000"
Swift 1.3Dx (14 model).,"2014 - 100,000 km","BAHAWALPUR, PUNJAB","Rs 1,560,000"
Suzuki swift,"2015 - 65,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,570,000"
Suzuki Swift For Sale,"2011 - 98,000 km","ASKARI V, KARACHI","Rs 1,340,000"
Suzuki swift DLX 1.3 Bumper to Bumper geniune,"2010 - 117,000 km","MEHMOODABAD, KARACHI","Rs 1,290,000"
Suzuki swift 2012,2012 - 101 km,"DHOK KASHMIRIAN, RAWALPINDI","Rs 1,280,000"
Suzuki Swift 1.3 DLX Beautiful Condition,"2011 - 55,000 km","DHA PHASE 6, KARACHI","Rs 1,375,000"
Suzuki swift,"2015 - 43,000 km","SAFOORA GOTH, KARACHI","Rs 1,620,000"
Swift dlx navigation,"2019 - 27,000 km","JOHAR TOWN, LAHORE","Rs 1,930,000"
Swift 2013 Dx 1.3,"2013 - 114,541 km","F-8, ISLAMABAD","Rs 1,390,000"
Suzuki swift 1.3 graphite color,"2013 - 199,725 km","SARGODHA, PUNJAB","Rs 1,380,000"
Suzuki Khyber swift. sale urgent,"1992 - 78,000 km","SAEEDABAD, KARACHI","Rs 200,000"
Suzuki Swift 2016 Manual,"2016 - 54,500 km","SINDH INDUSTRIAL TRADING ESTATE, KARACHI","Rs 1,608,000"
Suzuki sports swift,"2011 - 138,166 km","SAGGIAN, LAHORE","Rs 1,000,000"
Swift(DLX) One Hand Use Lush Piece,"2016 - 111,003 km","SHALIMAR LINK ROAD, LAHORE","Rs 1,610,000"
Suzuki Khyber swift japani,"1990 - 25,000 km","WAZIRABAD, PUNJAB","Rs 265,000"
suzuki swift 2017-2021,"2017 - 15,500 km","SABZAZAR, LAHORE","Rs 2,650,000"
Swift 2015 model for sale.,"2015 - 95,000 km","GULBERG, ISLAMABAD","Rs 1,700,000"
Suzuki Swift DX 2015,"2015 - 72,000 km","GULISTAN-E-JAUHAR BLOCK 16, KARACHI","Rs 1,480,000"
"Suzuki Swift, White Color, Model 2018 (OCT), 1.3 Manual.","2018 - 630,000 km","SAADI ROAD, KARACHI","Rs 1,800,000"
Suzuki swift for sale,"2010 - 126,000 km","PAKISTAN TOWN, ISLAMABAD","Rs 1,265,000"
Swift car for sale,"2011 - 160,000 km","SHEIKHÜPURA, PUNJAB","Rs 1,260,000"
Suzuki swift Dlx 1.3,"2012 - 73,400 km","SADDAR, KARACHI","Rs 1,350,000"
Lush condition Suzuki swift white colour.B2B genuine.,"2015 - 80,000 km","FAISALABAD, PUNJAB","Rs 1,499,999"
Swift DX 2011 | full original | 82k | Petrol/Manual,"2011 - 82,500 km","GULISTAN-E-JAUHAR BLOCK 19, KARACHI","Rs 1,245,000"
Suzuki swift white,"1987 - 99,000 km","GULSHAN DADAN, RAWALPINDI","Rs 380,000"
Suzuki swift DLX navegation urgent sale,"2017 - 64,000 km","BUFFER ZONE 2, KARACHI","Rs 1,675,000"
Suzuki swift 1.3 Dlx,"2014 - 67,000 km","FAISALABAD, PUNJAB","Rs 1,500,000"
Suzuki Swift 1.3 Dlx 2013,"2013 - 100,000 km","ZAMZAMA, KARACHI","Rs 1,300,000"
Suzuki swift dlx 1.3 manual,"2012 - 117,000 km","DHA DEFENCE, ISLAMABAD","Rs 1,350,000"
Swift 1.3 DLX manual 2018,"2018 - 95,000 km","MADINA TOWN, LAHORE","Rs 1,705,000"
Honda N One push start better than mira move dayz pixis cast swift,2015 - 60 km,"HILL PARK, KARACHI","Rs 1,425,000"
Swift DLX 2012 Manual,"2012 - 85,000 km","GULISTAN-E-JAUHAR BLOCK 15, KARACHI","Rs 1,150,000"
Suzuki khyber Swift Japan Assembled,"1988 - 1,000 km","GARDEN EAST, KARACHI","Rs 210,000"
SUZUKI SWIFT JAPNESE 2006 UNREGISTERED PEARL WHITE CUSTOM AUCTION,"2006 - 89,000 km","GULSHAN-E-IQBAL BLOCK 4, KARACHI","Rs 1,650,000"
suzuki swift dx 2011,"2011 - 120,000 km","GUJRAT, PUNJAB","Rs 1,350,000"
Khyber swift,"1988 - 100,000 km","SARGODHA, PUNJAB","Rs 425,000"
Suzuki Swift DLX (MT),"2012 - 104,234 km","NORTH KARACHI, KARACHI","Rs 1,420,000"
Suzuki swift,"2015 - 49,000 km","LUCKNOW SOCIETY, KARACHI","Rs 1,600,000"
Suzuki Swift 2021,"2021 - 1,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 2,330,000"
Suzuki Swift Total Genuine 1.3 DLX,"2017 - 41,000 km","SHAHTAJ COLONY, LAHORE","Rs 1,699,000"
Swift 2012 model,"2012 - 170,290 km","GUJRANWALA, PUNJAB","Rs 1,270,000"
Suzuki swift Dx Model 2012 colour white Registration 2012,"2012 - 127,000 km","BATAPUR, LAHORE","Rs 1,275,000"
Suzuki Swift DLX 1.3 2015,"2015 - 94,000 km","TOLLINTON MARKET ROAD, LAHORE","Rs 1,550,000"
Suzuki Swift 2016,"2016 - 54,500 km","RAHIMYAR KHAN, PUNJAB","Rs 1,550,000"
Suzuki Swift DLX 1.3,"2013 - 126,000 km","JHANG SADAR, PUNJAB","Rs 1,465,000"
Suzuki swift dlx 2011 model,"2011 - 102,000 km","LAYYAH, PUNJAB","Rs 1,275,000"
Suzuki Swift - Teacher used car,"2011 - 125,000 km","MULTAN ROAD, LAHORE","Rs 1,250,000"
suzuki khyber swift (imported),"1989 - 1,989 km","NAYA NAZIMABAD, KARACHI","Rs 220,000"
khyber swift,"1988 - 786,999 km","GULISTAN-E-JAUHAR BLOCK 20, KARACHI","Rs 240,000"
Suzuki khyber swift in good condition,1998 - 1 km,"PAKPATTAN, PUNJAB","Rs 380,000"
Suzuki swift dx 2012,"2012 - 94,000 km","RASHEEDABAD, KARACHI","Rs 1,250,000"
Swift 2010 model,"2010 - 117,000 km","QUETTA, BALOCHISTAN","Rs 1,200,000"
GIFT FOR SWIFT AUTOMATUC LOVERS,"2014 - 114,000 km","SHALIMAR LINK ROAD, LAHORE","Rs 1,660,000"
Swift 2012 1.3 DLX Showroom condition,"2012 - 149,000 km","PESHAWAR, KHYBER PAKHTUNKHWA","Rs 1,450,000"
Swift Automatic Total Original paint 100%,"2013 - 130,000 km","GUJRAT, PUNJAB","Rs 1,500,000"
Suzuki Swift Auto Japanese 2007 / 2012,"2007 - 111,200 km","NORTH NAZIMABAD, KARACHI","Rs 1,430,000"
suzuki swift 2011 dx,"2011 - 100,000 km","BAHRIA TOWN, LAHORE","Rs 1,280,000"
Suzuki Swift Japanese automatic,"2012 - 72,123 km","BAHRIA TOWN, ISLAMABAD","Rs 1,845,000"
Suzuki swift 2017 model Manual transmission Sand beige color,"2017 - 61,300 km","DERA GHAZI KHAN, PUNJAB","Rs 1,700,000"
Suzuki swift,"1992 - 100,000 km","FEDERAL B AREA, KARACHI","Rs 195,000"
"Swift DLX 1.3, 2012","2012 - 185,000 km","GUJRAT, PUNJAB","Rs 1,300,000"
Suzuki Swift 2018 model 2019 registered,2018 - 125 km,"WAH, PUNJAB","Rs 1,850,000"
SUZUKI Khyber Swift,"1986 - 100,000 km","GULSHAN-E-IQBAL BLOCK 2, KARACHI","Rs 185,000"
Swift DLX exchange possible,"2011 - 156,000 km","SAHIWAL, PUNJAB","Rs 1,275,000"
Swift DLX navigation for sale brand totall genuine condition,"2018 - 60,000 km","SIALKOT, PUNJAB","Rs 1,790,000"
